,id,number_of_seasons,number_of_episodes,vote_count,vote_average,popularity,episode_run_time
498,82565,1,13,422,7.028,6.725,43
499,113367,2,18,421,7.854,17.409,0
500,103157,1,12,420,8.075,25.822,24
501,77721,2,24,420,8.589,19.084,23
502,101881,2,16,419,7.2,14.415,0
503,82591,2,13,418,8.2,45.417,0
504,71340,2,20,418,7.15,23.67,45
505,64394,2,20,416,7.096,13.14,50
506,82428,5,91,414,8.245,140.694,45
507,64439,2,20,414,7.832,7.788,60
508,129600,2,39,414,8.2,183.12,24
509,86428,2,16,413,7.6,26.878,55
510,134949,2,16,413,7.521,35.395,39
511,135340,1,12,413,8.007,22.17,67
512,73157,3,34,412,7.159,20.717,30
513,68467,4,33,412,7.226,19.374,45
514,97645,4,38,411,7.9,29.732,25
515,135157,2,30,411,8.622,61.172,75
516,61901,1,12,410,8.098,17.734,23
517,100333,3,24,408,6.9,16.006,40
518,118357,1,10,407,8.399,77.349,0
519,103516,2,20,406,8.291,83.084,0
520,97219,1,16,402,8.114,19.948,70
521,127700,1,6,401,7.638,9.873,40
522,61662,6,79,400,7.775,184.244,22
523,98161,2,20,399,7.629,17.578,49
524,78903,1,8,399,7.31,13.98,52
525,82001,4,52,398,7.943,26.155,45
526,77184,1,3,397,6.916,25.31,23
527,108284,1,16,395,8.5,21.999,70
528,79026,4,32,395,7.285,23.735,45
529,116386,1,16,395,8.008,23.713,64
530,92983,1,16,394,8.392,17.172,60
531,72636,2,25,393,8.5,31.118,24
532,106600,2,13,393,8.537,11.594,80
533,66025,6,75,391,7.746,44.487,50
534,77532,3,81,391,7.57,19.466,120
535,66676,5,62,390,7.723,45.091,42
536,99626,1,6,389,7.44,9.146,55
537,77341,2,113,389,7.55,34.149,45
538,93392,2,17,388,7.696,19.093,50
539,99779,1,13,388,8.6,15.126,24
540,99310,1,44,387,7.68,55.87,45
541,97860,2,13,386,8.475,16.224,25
542,79611,4,72,383,7.347,40.484,45
543,84231,1,10,383,8.27,26.916,36
544,91875,2,33,383,8.242,22.669,45
545,102085,5,49,381,6.727,20.567,40
546,61929,1,6,381,8.047,9.919,43
547,112160,2,15,381,8.482,17.061,17
548,83478,1,10,380,7.082,17.326,45
549,66008,5,50,379,7.004,13.616,30
550,87083,5,50,378,8.324,19.018,38
551,112162,2,14,378,8.258,22.613,24
552,68202,4,32,375,7.3,12.735,48
553,100698,2,13,374,6.941,9.909,43
554,73987,2,12,372,7.0,10.376,40
555,98178,1,5,372,7.414,18.977,55
556,90630,1,27,370,8.2,8.534,45
557,99799,2,16,370,7.77,20.199,45
